station,valid,tmpf,drct,sped,alti,p01i,vsby
EWR,2025-01-01 00:00,50.00,60.00,9.20,M,M,10.00
EWR,2025-01-01 00:51,50.00,40.00,10.35,29.67,0.00,10.00
EWR,2025-01-01 01:51,47.00,20.00,13.80,29.62,0.19,3.00
EWR,2025-01-01 02:20,46.00,20.00,16.10,29.59,T,10.00
EWR,2025-01-01 02:28,46.00,20.00,9.20,29.60,T,6.00
EWR,2025-01-01 02:39,46.00,30.00,13.80,29.60,0.18,1.50
EWR,2025-01-01 02:42,46.00,30.00,14.95,29.60,0.30,1.50
EWR,2025-01-01 02:51,46.00,40.00,12.65,29.57,0.37,1.50
EWR,2025-01-01 03:05,46.00,40.00,10.35,29.55,0.05,3.00
EWR,2025-01-01 03:51,46.00,40.00,12.65,29.51,0.15,10.00
EWR,2025-01-01 04:26,47.00,350.00,4.60,29.51,T,10.00
EWR,2025-01-01 04:51,48.00,M,4.60,29.48,T,10.00
EWR,2025-01-01 05:33,49.00,100.00,4.60,29.47,0.00,10.00
EWR,2025-01-01 05:51,49.00,0.00,0.00,29.47,0.00,8.00
EWR,2025-01-01 06:51,48.00,340.00,3.45,29.47,0.00,8.00
EWR,2025-01-01 07:43,48.00,0.00,0.00,29.48,0.00,3.00
EWR,2025-01-01 07:51,47.00,0.00,0.00,29.48,0.00,3.00
EWR,2025-01-01 08:51,48.00,250.00,8.05,29.48,0.00,5.00
EWR,2025-01-01 09:51,48.00,250.00,11.50,29.49,0.00,4.00
EWR,2025-01-01 10:19,48.00,240.00,11.50,29.49,0.00,5.00
EWR,2025-01-01 10:51,47.00,250.00,8.05,29.50,0.00,6.00
EWR,2025-01-01 11:51,47.00,220.00,5.75,29.50,0.00,8.00
EWR,2025-01-01 12:51,47.00,240.00,11.50,29.50,0.00,6.00
EWR,2025-01-01 13:05,47.00,240.00,10.35,29.50,0.00,6.00
EWR,2025-01-01 13:51,48.00,220.00,13.80,29.52,0.00,10.00
EWR,2025-01-01 13:57,48.00,230.00,16.10,29.52,0.00,9.00
EWR,2025-01-01 14:23,48.00,230.00,13.80,29.53,0.00,10.00
EWR,2025-01-01 14:51,49.00,250.00,14.95,29.54,0.00,10.00
EWR,2025-01-01 15:49,51.80,270.00,19.55,29.54,0.00,10.00
EWR,2025-01-01 15:51,51.00,260.00,18.40,29.54,0.00,10.00
EWR,2025-01-01 16:14,51.00,260.00,21.85,29.54,0.00,10.00
EWR,2025-01-01 16:51,52.00,270.00,20.70,29.53,0.00,10.00
EWR,2025-01-01 17:51,49.00,270.00,25.30,29.54,0.00,10.00
EWR,2025-01-01 18:51,47.00,260.00,23.00,29.55,T,10.00
EWR,2025-01-01 19:51,47.00,270.00,26.45,29.58,T,10.00
EWR,2025-01-01 20:51,46.00,280.00,16.10,29.64,T,10.00
EWR,2025-01-01 21:51,44.00,280.00,24.15,29.66,0.00,10.00
EWR,2025-01-01 22:51,44.00,270.00,20.70,29.68,0.00,10.00
EWR,2025-01-01 23:51,43.00,280.00,16.10,29.70,0.00,10.00
EWR,2025-01-02 00:51,44.00,280.00,24.15,29.73,0.00,10.00
EWR,2025-01-02 01:51,42.00,290.00,24.15,29.74,0.00,10.00
EWR,2025-01-02 02:51,42.00,270.00,11.50,29.77,0.00,10.00
EWR,2025-01-02 03:51,41.00,260.00,14.95,29.78,0.00,10.00
EWR,2025-01-02 04:51,40.00,260.00,17.25,29.79,0.00,10.00
EWR,2025-01-02 05:51,39.00,250.00,13.80,29.80,0.00,10.00
EWR,2025-01-02 06:51,39.00,260.00,17.25,29.81,0.00,10.00
EWR,2025-01-02 07:51,39.00,260.00,21.85,29.83,0.00,10.00
EWR,2025-01-02 08:51,40.00,260.00,17.25,29.84,0.00,10.00
EWR,2025-01-02 09:51,39.00,250.00,16.10,29.85,0.00,10.00
EWR,2025-01-02 10:51,38.00,260.00,17.25,29.88,0.00,10.00
EWR,2025-01-02 11:51,37.00,260.00,20.70,29.89,0.00,10.00
EWR,2025-01-02 12:51,37.00,270.00,16.10,29.90,0.00,10.00
EWR,2025-01-02 13:51,39.00,260.00,18.40,29.94,0.00,10.00
EWR,2025-01-02 14:51,42.00,260.00,19.55,29.96,0.00,10.00
EWR,2025-01-02 15:51,43.00,270.00,27.60,29.95,0.00,10.00
EWR,2025-01-02 16:51,44.00,280.00,25.30,29.93,0.00,10.00
EWR,2025-01-02 17:51,43.00,280.00,27.60,29.92,0.00,10.00
EWR,2025-01-02 18:51,43.00,260.00,24.15,29.92,0.00,10.00
EWR,2025-01-02 19:51,42.00,260.00,23.00,29.93,0.00,10.00
EWR,2025-01-02 20:51,41.00,270.00,21.85,29.95,0.00,10.00
EWR,2025-01-02 21:51,39.00,270.00,23.00,29.97,0.00,10.00
EWR,2025-01-02 22:51,38.00,250.00,18.40,29.97,0.00,10.00
EWR,2025-01-02 23:51,37.00,260.00,19.55,29.98,0.00,10.00
EWR,2025-01-03 00:51,36.00,260.00,17.25,29.99,0.00,10.00
EWR,2025-01-03 01:51,35.00,250.00,17.25,29.98,0.00,10.00
EWR,2025-01-03 02:51,34.00,260.00,17.25,29.98,0.00,10.00
EWR,2025-01-03 03:51,34.00,260.00,18.40,29.98,0.00,10.00
EWR,2025-01-03 04:51,34.00,260.00,14.95,29.99,0.00,10.00
EWR,2025-01-03 05:51,34.00,260.00,19.55,29.98,0.00,10.00
EWR,2025-01-03 06:51,33.00,270.00,14.95,29.98,0.00,10.00
EWR,2025-01-03 07:51,34.00,280.00,12.65,29.99,0.00,10.00
EWR,2025-01-03 08:51,34.00,270.00,12.65,29.99,0.00,10.00
EWR,2025-01-03 09:51,34.00,270.00,18.40,29.98,0.00,10.00
EWR,2025-01-03 10:51,34.00,270.00,12.65,29.98,0.00,10.00
EWR,2025-01-03 11:51,34.00,250.00,11.50,29.97,0.00,10.00
EWR,2025-01-03 12:51,33.00,240.00,10.35,29.95,0.00,10.00
EWR,2025-01-03 13:51,35.00,250.00,11.50,29.95,0.00,10.00
EWR,2025-01-03 14:51,38.00,260.00,14.95,29.95,0.00,10.00
EWR,2025-01-03 15:51,39.00,280.00,13.80,29.92,0.00,10.00
EWR,2025-01-03 16:51,40.00,260.00,12.65,29.87,0.00,10.00
EWR,2025-01-03 17:51,40.00,250.00,16.10,29.83,0.00,10.00
EWR,2025-01-03 18:51,39.00,260.00,14.95,29.81,0.00,10.00
EWR,2025-01-03 19:51,39.00,250.00,17.25,29.79,0.00,10.00
EWR,2025-01-03 20:51,38.00,260.00,17.25,29.80,0.00,10.00
EWR,2025-01-03 21:51,36.00,260.00,11.50,29.81,0.00,10.00
EWR,2025-01-03 22:51,35.00,250.00,14.95,29.82,0.00,10.00
EWR,2025-01-03 23:51,33.00,250.00,11.50,29.81,0.00,10.00
EWR,2025-01-04 00:51,32.00,250.00,11.50,29.80,0.00,10.00
EWR,2025-01-04 01:51,32.00,260.00,10.35,29.80,0.00,10.00
EWR,2025-01-04 02:51,32.00,260.00,10.35,29.79,0.00,10.00
