flight_idx,assignment,gate_name
0,0,EWR_Terminal_A
1,0,EWR_Terminal_A
2,0,EWR_Terminal_A
3,0,EWR_Terminal_A
4,0,EWR_Terminal_A
5,3,LGA_Terminal_B
6,0,EWR_Terminal_A
7,0,EWR_Terminal_A
8,0,EWR_Terminal_A
9,0,EWR_Terminal_A
10,3,LGA_Terminal_B
11,0,EWR_Terminal_A
12,0,EWR_Terminal_A
13,3,LGA_Terminal_B
14,3,LGA_Terminal_B
15,3,LGA_Terminal_B
16,0,EWR_Terminal_A
17,3,LGA_Terminal_B
18,3,LGA_Terminal_B
19,3,LGA_Terminal_B
20,1,EWR_Terminal_B
21,0,EWR_Terminal_A
22,3,LGA_Terminal_B
23,0,EWR_Terminal_A
24,3,LGA_Terminal_B
25,4,LGA_Terminal_C
26,0,EWR_Terminal_A
27,4,LGA_Terminal_C
28,4,LGA_Terminal_C
29,0,EWR_Terminal_A
30,0,EWR_Terminal_A
31,3,LGA_Terminal_B
32,0,EWR_Terminal_A
33,3,LGA_Terminal_B
34,0,EWR_Terminal_A
35,0,EWR_Terminal_A
36,0,EWR_Terminal_A
37,0,EWR_Terminal_A
38,0,EWR_Terminal_A
39,0,EWR_Terminal_A
40,0,EWR_Terminal_A
41,0,EWR_Terminal_A
42,0,EWR_Terminal_A
43,0,EWR_Terminal_A
44,0,EWR_Terminal_A
45,0,EWR_Terminal_A
46,0,EWR_Terminal_A
47,0,EWR_Terminal_A
48,0,EWR_Terminal_A
49,0,EWR_Terminal_A
50,3,LGA_Terminal_B
51,0,EWR_Terminal_A
52,0,EWR_Terminal_A
53,0,EWR_Terminal_A
54,0,EWR_Terminal_A
55,0,EWR_Terminal_A
56,0,EWR_Terminal_A
57,3,LGA_Terminal_B
58,3,LGA_Terminal_B
59,3,LGA_Terminal_B
60,0,EWR_Terminal_A
61,0,EWR_Terminal_A
62,3,LGA_Terminal_B
63,0,EWR_Terminal_A
64,0,EWR_Terminal_A
65,0,EWR_Terminal_A
66,0,EWR_Terminal_A
67,0,EWR_Terminal_A
68,0,EWR_Terminal_A
69,3,LGA_Terminal_B
70,1,EWR_Terminal_B
71,3,LGA_Terminal_B
72,3,LGA_Terminal_B
73,4,LGA_Terminal_C
74,3,LGA_Terminal_B
75,3,LGA_Terminal_B
76,0,EWR_Terminal_A
77,3,LGA_Terminal_B
78,3,LGA_Terminal_B
79,3,LGA_Terminal_B
80,3,LGA_Terminal_B
81,0,EWR_Terminal_A
82,0,EWR_Terminal_A
83,0,EWR_Terminal_A
84,0,EWR_Terminal_A
85,0,EWR_Terminal_A
86,3,LGA_Terminal_B
87,3,LGA_Terminal_B
88,0,EWR_Terminal_A
89,0,EWR_Terminal_A
90,0,EWR_Terminal_A
91,0,EWR_Terminal_A
92,0,EWR_Terminal_A
93,3,LGA_Terminal_B
94,0,EWR_Terminal_A
95,0,EWR_Terminal_A
96,0,EWR_Terminal_A
97,0,EWR_Terminal_A
98,3,LGA_Terminal_B
99,0,EWR_Terminal_A
100,0,EWR_Terminal_A
101,0,EWR_Terminal_A
102,3,LGA_Terminal_B
103,3,LGA_Terminal_B
104,0,EWR_Terminal_A
105,0,EWR_Terminal_A
106,3,LGA_Terminal_B
107,4,LGA_Terminal_C
108,3,LGA_Terminal_B
109,3,LGA_Terminal_B
110,3,LGA_Terminal_B
111,1,EWR_Terminal_B
112,1,EWR_Terminal_B
113,0,EWR_Terminal_A
114,0,EWR_Terminal_A
115,4,LGA_Terminal_C
116,4,LGA_Terminal_C
117,4,LGA_Terminal_C
118,4,LGA_Terminal_C
119,4,LGA_Terminal_C
120,4,LGA_Terminal_C
121,4,LGA_Terminal_C
122,4,LGA_Terminal_C
123,4,LGA_Terminal_C
124,3,LGA_Terminal_B
125,0,EWR_Terminal_A
126,0,EWR_Terminal_A
127,0,EWR_Terminal_A
128,0,EWR_Terminal_A
129,0,EWR_Terminal_A
130,3,LGA_Terminal_B
131,3,LGA_Terminal_B
132,3,LGA_Terminal_B
133,0,EWR_Terminal_A
134,0,EWR_Terminal_A
135,0,EWR_Terminal_A
136,3,LGA_Terminal_B
137,0,EWR_Terminal_A
138,3,LGA_Terminal_B
139,4,LGA_Terminal_C
140,4,LGA_Terminal_C
141,4,LGA_Terminal_C
142,4,LGA_Terminal_C
143,0,EWR_Terminal_A
144,3,LGA_Terminal_B
145,0,EWR_Terminal_A
146,0,EWR_Terminal_A
147,0,EWR_Terminal_A
148,3,LGA_Terminal_B
149,0,EWR_Terminal_A
150,0,EWR_Terminal_A
151,3,LGA_Terminal_B
152,0,EWR_Terminal_A
153,0,EWR_Terminal_A
154,0,EWR_Terminal_A
155,3,LGA_Terminal_B
156,4,LGA_Terminal_C
